Club Name,Alias,Club logo,Founded Year,Stadium,Postcode,Region,Primary Colour Code,Secondary Colour Code,Website URL,Financial Value,Seasons in Top Division,Trophies Won (Last 5 Years),Avg Position (Last 5 Years),Shirt Colour
Liverpool FC,Liverpool,,,Anfield,L4 0TH,North West,#C8102E,#C8102E,https://www.liverpoolfc.com/,1040000000,110,4,2.4,Red
Chelsea FC,Chelsea,,,Stamford Bridge,SW6 1HS,London,#034694,#FFFFFF,https://www.chelseafc.com/,1180000000,90,1,5.4,Blue
Arsenal FC,Arsenal,,,Emirates Stadium,N5 1BU,London,#EF0107,#FFFFFF,https://www.arsenal.com/,1290000000,108,1,2.8,Red
Tottenham Hotspur FC,Tottenham Hotspur,,,Tottenham Hotspur Stadium,N17 0AP,London,#FFFFFF,#132257,https://www.tottenhamhotspur.com/,878500000,90,1,7.6,White
Everton FC,Everton,,,Hill Dickinson Stadium,L4 4EL,North West,#003399,#FFFFFF,https://www.evertonfc.com/,400850000,122,0,13.2,Blue
Sunderland AFC,Sunderland,,,Stadium of Light,SR5 1SU,North East,#EB172B,#FFFFFF,https://www.safc.com/,365050000,86,0,28.2,Red and White
AFC Bournemouth,AFC Bournemouth,,,Vitality Stadium,BH7 7AF,South West,#DA291C,#000000,https://www.afcb.co.uk/,483850000,8,0,13,Red and Black
Crystal Palace FC,Crystal Palace,,,Selhurst Park,SE25 6PU,London,#1B458F,#C4122E,https://www.cpfc.co.uk/,501880000,25,1,10.6,Red and Blue
Manchester United FC,Manchester United,,,Old Trafford,M16 0RA,North West,#DA291C,#000000,https://www.manutd.com/,719150000,100,2,8.2,Red
Nottingham Forest FC,Nottingham Forest,,,City Ground,NG2 5FJ,East Midlands,#DD0000,#FFFFFF,https://www.nottinghamforest.co.uk/,619600000,59,0,14.8,Red
Brighton & Hove Albion FC,Brighton & Hove Albion,,,AMEX Stadium,BN1 9BL,South East,#0057B8,#FFFFFF,https://www.brightonandhovealbion.com/,519500000,12,0,9,Blue and White
Leeds United FC,Leeds United,,,Elland Road,LS11 0ES,Yorkshire & The Humber,#FFFFFF,#FFFFFF,https://www.leedsunited.com/,313080000,53,0,18.4,White
Manchester City FC,Manchester City,,,Etihad Stadium,M11 3FF,North West,#6CABDD,#FFFFFF,https://www.mancity.com/,1190000000,96,7,3.8,Sky Blue
