Club Name,Platform,Followers,Reporting Date
Arsenal,Facebook,47000000,2026-01-30
Aston Villa,Facebook,7200000,2026-01-30
AFC Bournemouth,Facebook,1200000,2026-01-30
Brentford,Facebook,1500000,2026-01-30
Brighton & Hove Albion,Facebook,2200000,2026-01-30
Chelsea,Facebook,58000000,2026-01-30
Crystal Palace,Facebook,2500000,2026-01-30
Everton,Facebook,4900000,2026-01-30
Fulham,Facebook,1800000,2026-01-30
Ipswich Town,Facebook,421000,2026-01-30
Leicester City,Facebook,9800000,2026-01-30
Liverpool,Facebook,58000000,2026-01-30
Manchester City,Facebook,57000000,2026-01-30
Manchester United,Facebook,86000000,2026-01-30
Newcastle United,Facebook,5100000,2026-01-30
Nottingham Forest,Facebook,1400000,2026-01-30
Southampton,Facebook,3400000,2026-01-30
Tottenham Hotspur,Facebook,37000000,2026-01-30
West Ham United,Facebook,4700000,2026-01-30
Wolverhampton Wanderers,Facebook,3600000,2026-01-30
Blackburn Rovers,Facebook,348000,2026-01-30
Bristol City,Facebook,239000,2026-01-30
Burnley,Facebook,1100000,2026-01-30
Cardiff City,Facebook,569000,2026-01-30
Coventry City,Facebook,450000,2026-01-30
Derby County,Facebook,608000,2026-01-30
Hull City,Facebook,1100000,2026-01-30
Leeds United,Facebook,1700000,2026-01-30
Luton Town,Facebook,468000,2026-01-30
Middlesbrough,Facebook,525000,2026-01-30
Millwall,Facebook,221000,2026-01-30
Norwich City,Facebook,1100000,2026-01-30
Oxford United,Facebook,85000,2026-01-30
Plymouth Argyle,Facebook,116000,2026-01-30
Portsmouth,Facebook,307000,2026-01-30
Preston North End,Facebook,158000,2026-01-30
Queens Park Rangers,Facebook,807000,2026-01-30
Sheffield United,Facebook,1500000,2026-01-30
Sheffield Wednesday,Facebook,389000,2026-01-30
Stoke City,Facebook,1200000,2026-01-30
Sunderland,Facebook,2600000,2026-01-30
Swansea City,Facebook,1300000,2026-01-30
Watford,Facebook,1900000,2026-01-30
West Bromwich Albion,Facebook,882000,2026-01-30
Barnsley,Facebook,159000,2026-01-30
Birmingham City,Facebook,516000,2026-01-30
Blackpool,Facebook,193000,2026-01-30
Bolton Wanderers,Facebook,312000,2026-01-30
Bristol Rovers,Facebook,136000,2026-01-30
Burton Albion,Facebook,73000,2026-01-30
Cambridge United,Facebook,98000,2026-01-30
Charlton Athletic,Facebook,237000,2026-01-30
Crawley Town,Facebook,63000,2026-01-30
Exeter City,Facebook,110000,2026-01-30
Huddersfield Town,Facebook,169000,2026-01-30
Leyton Orient,Facebook,92000,2026-01-30
Lincoln City,Facebook,76000,2026-01-30
Mansfield Town,Facebook,92000,2026-01-30
Northampton Town,Facebook,48000,2026-01-30
Peterborough United,Facebook,72000,2026-01-30
Reading,Facebook,500000,2026-01-30
Rotherham United,Facebook,71000,2026-01-30
Shrewsbury Town,Facebook,82000,2026-01-30
Stevenage,Facebook,98000,2026-01-30
Stockport County,Facebook,51000,2026-01-30
Wigan Athletic,Facebook,297000,2026-01-30
Wrexham,Facebook,498000,2026-01-30
Wycombe Wanderers,Facebook,80000,2026-01-30
Accrington Stanley,Facebook,62000,2026-01-30
AFC Wimbledon,Facebook,119000,2026-01-30
Barrow,Facebook,29000,2026-01-30
Bradford City,Facebook,144000,2026-01-30
Bromley,Facebook,42000,2026-01-30
Carlisle United,Facebook,122000,2026-01-30
Cheltenham Town,Facebook,64000,2026-01-30
Chesterfield,Facebook,120000,2026-01-30
Colchester United,Facebook,75000,2026-01-30
Crewe Alexandra,Facebook,72000,2026-01-30
Doncaster Rovers,Facebook,135000,2026-01-30
Fleetwood Town,Facebook,40000,2026-01-30
Gillingham,Facebook,79000,2026-01-30
Grimsby Town,Facebook,96000,2026-01-30
Harrogate Town,Facebook,20000,2026-01-30
Milton Keynes Dons,Facebook,177,2026-01-30
Morecambe,Facebook,51000,2026-01-30
Newport County,Facebook,66000,2026-01-30
Notts County,Facebook,149000,2026-01-30
Port Vale,Facebook,80000,2026-01-30
Salford City,Facebook,118000,2026-01-30
Swindon Town,Facebook,67000,2026-01-30
Tranmere Rovers,Facebook,94000,2026-01-30
Walsall,Facebook,68000,2026-01-30
Barnet,Facebook,19000,2026-01-30
Oldham Athletic,Facebook,114000,2026-01-30
