ClubName,League,Season_Year,Positions,Updated_At
Arsenal FC,Premier League,2025,1,2026-02-09 15:50:23
Manchester City FC,Premier League,2025,2,2026-02-09 15:50:23
Aston Villa FC,Premier League,2025,3,2026-02-09 15:50:23
Manchester United FC,Premier League,2025,4,2026-02-09 15:50:23
Chelsea FC,Premier League,2025,5,2026-02-09 15:50:23
Liverpool FC,Premier League,2025,6,2026-02-09 15:50:23
Brentford FC,Premier League,2025,7,2026-02-09 15:50:23
Everton FC,Premier League,2025,8,2026-02-09 15:50:23
Sunderland AFC,Premier League,2025,9,2026-02-09 15:50:23
Fulham FC,Premier League,2025,10,2026-02-09 15:50:23
AFC Bournemouth,Premier League,2025,11,2026-02-09 15:50:23
Newcastle United FC,Premier League,2025,12,2026-02-09 15:50:23
Crystal Palace FC,Premier League,2025,13,2026-02-09 15:50:23
Brighton & Hove Albion FC,Premier League,2025,14,2026-02-09 15:50:23
Tottenham Hotspur FC,Premier League,2025,15,2026-02-09 15:50:23
Leeds United FC,Premier League,2025,16,2026-02-09 15:50:23
Nottingham Forest FC,Premier League,2025,17,2026-02-09 15:50:23
West Ham United FC,Premier League,2025,18,2026-02-09 15:50:23
Burnley FC,Premier League,2025,19,2026-02-09 15:50:23
Wolverhampton Wanderers FC,Premier League,2025,20,2026-02-09 15:50:23
Coventry City FC,Championship,2025,1,2026-02-09 15:50:23
Middlesbrough FC,Championship,2025,2,2026-02-09 15:50:23
Ipswich Town FC,Championship,2025,3,2026-02-09 15:50:23
Hull City AFC,Championship,2025,4,2026-02-09 15:50:23
Millwall FC,Championship,2025,5,2026-02-09 15:50:23
Wrexham AFC,Championship,2025,6,2026-02-09 15:50:23
Preston North End FC,Championship,2025,7,2026-02-09 15:50:23
Bristol City FC,Championship,2025,8,2026-02-09 15:50:23
Derby County FC,Championship,2025,9,2026-02-09 15:50:23
Birmingham City FC,Championship,2025,10,2026-02-09 15:50:23
Watford FC,Championship,2025,11,2026-02-09 15:50:23
Queens Park Rangers FC,Championship,2025,12,2026-02-09 15:50:23
Stoke City FC,Championship,2025,13,2026-02-09 15:50:23
Southampton FC,Championship,2025,14,2026-02-09 15:50:23
Swansea City AFC,Championship,2025,15,2026-02-09 15:50:23
Sheffield United FC,Championship,2025,16,2026-02-09 15:50:23
Norwich City FC,Championship,2025,17,2026-02-09 15:50:23
Charlton Athletic FC,Championship,2025,18,2026-02-09 15:50:23
Portsmouth FC,Championship,2025,19,2026-02-09 15:50:23
West Bromwich Albion FC,Championship,2025,20,2026-02-09 15:50:23
Leicester City FC,Championship,2025,21,2026-02-09 15:50:23
Blackburn Rovers FC,Championship,2025,22,2026-02-09 15:50:23
Oxford United FC,Championship,2025,23,2026-02-09 15:50:23
Sheffield Wednesday FC,Championship,2025,24,2026-02-09 15:50:23
Cardiff City FC,League One,2025,1,2026-02-09 15:50:23
Lincoln City FC,League One,2025,2,2026-02-09 15:50:23
Bolton Wanderers FC,League One,2025,3,2026-02-09 15:50:23
Stockport County FC,League One,2025,4,2026-02-09 15:50:23
Huddersfield Town AFC,League One,2025,5,2026-02-09 15:50:23
Bradford City AFC,League One,2025,6,2026-02-09 15:50:23
Luton Town FC,League One,2025,7,2026-02-09 15:50:23
Wycombe Wanderers FC,League One,2025,8,2026-02-09 15:50:23
Stevenage FC,League One,2025,9,2026-02-09 15:50:23
Peterborough United FC,League One,2025,10,2026-02-09 15:50:23
Reading FC,League One,2025,11,2026-02-09 15:50:23
Mansfield Town FC,League One,2025,12,2026-02-09 15:50:23
Exeter City FC,League One,2025,13,2026-02-09 15:50:23
AFC Wimbledon,League One,2025,14,2026-02-09 15:50:23
Barnsley FC,League One,2025,15,2026-02-09 15:50:23
Plymouth Argyle FC,League One,2025,16,2026-02-09 15:50:23
Blackpool FC,League One,2025,17,2026-02-09 15:50:23
Leyton Orient FC,League One,2025,18,2026-02-09 15:50:23
Northampton Town FC,League One,2025,19,2026-02-09 15:50:23
Doncaster Rovers FC,League One,2025,20,2026-02-09 15:50:23
Burton Albion FC,League One,2025,21,2026-02-09 15:50:23
Wigan Athletic FC,League One,2025,22,2026-02-09 15:50:23
Rotherham United FC,League One,2025,23,2026-02-09 15:50:23
Port Vale FC,League One,2025,24,2026-02-09 15:50:23
Bromley FC,League Two,2025,1,2026-02-09 15:50:23
Notts County FC,League Two,2025,2,2026-02-09 15:50:23
Swindon Town FC,League Two,2025,3,2026-02-09 15:50:23
Milton Keynes Dons FC,League Two,2025,4,2026-02-09 15:50:23
Cambridge United FC,League Two,2025,5,2026-02-09 15:50:23
Salford City FC,League Two,2025,6,2026-02-09 15:50:23
Walsall FC,League Two,2025,7,2026-02-09 15:50:23
Chesterfield FC,League Two,2025,8,2026-02-09 15:50:23
Crewe Alexandra FC,League Two,2025,9,2026-02-09 15:50:23
Barnet FC,League Two,2025,10,2026-02-09 15:50:23
Colchester United FC,League Two,2025,11,2026-02-09 15:50:23
Grimsby Town FC,League Two,2025,12,2026-02-09 15:50:23
Accrington Stanley FC,League Two,2025,13,2026-02-09 15:50:23
Gillingham FC,League Two,2025,14,2026-02-09 15:50:23
Fleetwood Town FC,League Two,2025,15,2026-02-09 15:50:23
Oldham Athletic AFC,League Two,2025,16,2026-02-09 15:50:23
Tranmere Rovers FC,League Two,2025,17,2026-02-09 15:50:23
Cheltenham Town FC,League Two,2025,18,2026-02-09 15:50:23
Bristol Rovers FC,League Two,2025,19,2026-02-09 15:50:23
Crawley Town FC,League Two,2025,20,2026-02-09 15:50:23
Barrow AFC,League Two,2025,21,2026-02-09 15:50:23
Shrewsbury Town FC,League Two,2025,22,2026-02-09 15:50:23
Newport County AFC,League Two,2025,23,2026-02-09 15:50:23
Harrogate Town AFC,League Two,2025,24,2026-02-09 15:50:23
