ClubName,League,Season_Year,Positions
Arsenal FC,Premier League,2025,1
Manchester City FC,Premier League,2025,2
Aston Villa FC,Premier League,2025,3
Manchester United FC,Premier League,2025,4
Chelsea FC,Premier League,2025,5
Liverpool FC,Premier League,2025,6
Brentford FC,Premier League,2025,7
Everton FC,Premier League,2025,8
AFC Bournemouth,Premier League,2025,9
Newcastle United FC,Premier League,2025,10
Sunderland AFC,Premier League,2025,11
Fulham FC,Premier League,2025,12
Crystal Palace FC,Premier League,2025,13
Brighton & Hove Albion FC,Premier League,2025,14
Leeds United FC,Premier League,2025,15
Tottenham Hotspur FC,Premier League,2025,16
Nottingham Forest FC,Premier League,2025,17
West Ham United FC,Premier League,2025,18
Burnley FC,Premier League,2025,19
Wolverhampton Wanderers FC,Premier League,2025,20
Middlesbrough FC,Championship,2025,1
Coventry City FC,Championship,2025,2
Ipswich Town FC,Championship,2025,3
Hull City AFC,Championship,2025,4
Millwall FC,Championship,2025,5
Wrexham AFC,Championship,2025,6
Preston North End FC,Championship,2025,7
Bristol City FC,Championship,2025,8
Southampton FC,Championship,2025,9
Birmingham City FC,Championship,2025,10
Derby County FC,Championship,2025,11
Watford FC,Championship,2025,12
Queens Park Rangers FC,Championship,2025,13
Stoke City FC,Championship,2025,14
Swansea City AFC,Championship,2025,15
Norwich City FC,Championship,2025,16
Sheffield United FC,Championship,2025,17
Charlton Athletic FC,Championship,2025,18
West Bromwich Albion FC,Championship,2025,19
Portsmouth FC,Championship,2025,20
Leicester City FC,Championship,2025,21
Blackburn Rovers FC,Championship,2025,22
Oxford United FC,Championship,2025,23
Sheffield Wednesday FC,Championship,2025,24
Cardiff City FC,League One,2025,1
Lincoln City FC,League One,2025,2
Bolton Wanderers FC,League One,2025,3
Stockport County FC,League One,2025,4
Huddersfield Town AFC,League One,2025,5
Bradford City AFC,League One,2025,6
Luton Town FC,League One,2025,7
Peterborough United FC,League One,2025,8
Wycombe Wanderers FC,League One,2025,9
Reading FC,League One,2025,10
Stevenage FC,League One,2025,11
Mansfield Town FC,League One,2025,12
Exeter City FC,League One,2025,13
AFC Wimbledon,League One,2025,14
Barnsley FC,League One,2025,15
Plymouth Argyle FC,League One,2025,16
Blackpool FC,League One,2025,17
Leyton Orient FC,League One,2025,18
Northampton Town FC,League One,2025,19
Doncaster Rovers FC,League One,2025,20
Burton Albion FC,League One,2025,21
Wigan Athletic FC,League One,2025,22
Rotherham United FC,League One,2025,23
Port Vale FC,League One,2025,24
Bromley FC,League Two,2025,1
Swindon Town FC,League Two,2025,2
Notts County FC,League Two,2025,3
Cambridge United FC,League Two,2025,4
Milton Keynes Dons FC,League Two,2025,5
Salford City FC,League Two,2025,6
Walsall FC,League Two,2025,7
Grimsby Town FC,League Two,2025,8
Chesterfield FC,League Two,2025,9
Crewe Alexandra FC,League Two,2025,10
Barnet FC,League Two,2025,11
Colchester United FC,League Two,2025,12
Accrington Stanley FC,League Two,2025,13
Gillingham FC,League Two,2025,14
Fleetwood Town FC,League Two,2025,15
Oldham Athletic AFC,League Two,2025,16
Tranmere Rovers FC,League Two,2025,17
Cheltenham Town FC,League Two,2025,18
Bristol Rovers FC,League Two,2025,19
Crawley Town FC,League Two,2025,20
Shrewsbury Town FC,League Two,2025,21
Barrow AFC,League Two,2025,22
Newport County AFC,League Two,2025,23
Harrogate Town AFC,League Two,2025,24
